symbol,price,price_date,name,type
1082585,13.96,2026-07-23,תפרון,מניה רגילה
1082635,57.15,2026-07-23,אלומיי,מניה רגילה
1082726,127.9,2026-07-23,תאת טכנו,מניה רגילה
1082858,90.12,2026-07-23,ויליפוד אינטרנש,מניה רגילה
1082965,29.43,2026-07-23,אודיוקודס,מניה רגילה
1083377,10.77,2026-07-23,טופ גרופ,מניה רגילה
1083419,9.525,2026-07-23,אוטונומוס,מניה רגילה
1083443,2.056,2026-07-23,גולדן אנרג'י,מניה רגילה
1083484,38.85,2026-07-23,פרטנר,מניה רגילה
1083831,20.35,2026-07-23,יוניטרוניקס,מניה רגילה
1083856,0.635,2026-07-23,אלארום,מניה רגילה
1083930,0.45,2026-07-23,נקסט ג'ן-ש,מניה רגילה
1083955,528.2,2026-07-23,קווליטאו,מניה רגילה
1084128,81.73,2026-07-23,דלק קבוצה,מניה רגילה
1084367,3.35,2026-07-23,תיקון עולם קנבט,מניה רגילה
1084482,11.91,2026-07-23,איביאי חיתום,מניה רגילה
1084557,1407.7,2026-07-23,נובה,מניה רגילה
1084698,215,2026-07-23,חילן,מניה רגילה
1084953,18.59,2026-07-23,סינאל,מניה רגילה
1085208,7.616,2026-07-23,קומפיוגן,מניה רגילה
1085265,45.57,2026-07-23,ארן,מניה רגילה
1085497,0.021,2026-07-23,אקס טי אל,מניה רגילה
1086230,8.62,2026-07-23,או.אר.טי,מניה רגילה
1087022,290.2,2026-07-23,פוקס,מניה רגילה
1087824,13.5,2026-07-23,אל על,מניה רגילה
1090117,2.299,2026-07-23,ספאנטק,מניה רגילה
1090141,2.33,2026-07-23,טי.ג'י.איי,מניה רגילה
1090315,364.3,2026-07-23,דמרי,מניה רגילה
1090364,4.087,2026-07-23,אלספק,מניה רגילה
1090943,10.5,2026-07-23,רם און,מניה רגילה
1091065,1.993,2026-07-23,מיטרוניקס,מניה רגילה
1091248,1.391,2026-07-23,לפידות חלץ יהש,יחידת השתתפות
1091354,189.9,2026-07-23,אפי נכסים,מניה רגילה
1091651,54.31,2026-07-23,ארד,מניה רגילה
1091685,13,2026-07-23,פיסיבי טכנ,מניה רגילה
1091933,7.215,2026-07-23,גולן תעשיות,מניה רגילה
1092204,36.93,2026-07-23,עמיר שיווק,מניה רגילה
1092345,2.109,2026-07-23,חלל תקשורת,מניה רגילה
1092725,0.419,2026-07-23,שרין טכנו,מניה רגילה
1092840,4.846,2026-07-23,פלסטופיל,מניה רגילה
1093202,185.9,2026-07-23,דור אלון,מניה רגילה
1093558,9300,2026-07-23,יוניבו-ש,מניה רגילה
1094044,35.3,2026-07-23,אלקטרה נדלן,מניה רגילה
1094119,21.73,2026-07-23,קמהדע,מניה רגילה
1094283,20.49,2026-07-23,ברימאג,מניה רגילה
1094390,7.918,2026-07-23,עמיעד,מניה רגילה
1094473,5.236,2026-07-23,כן פייט ביופרמה,מניה רגילה
1094515,1.479,2026-07-23,ברם תעשיות,מניה רגילה
1094986,3.247,2026-07-23,אופל בלאנס,מניה רגילה
1095223,4.167,2026-07-23,ביולייט,מניה רגילה
1095264,488.2,2026-07-23,קמטק,מניה רגילה
1095405,0.6,2026-07-23,הדסית ביו-ש,מניה רגילה
1095785,14.86,2026-07-23,נקסטקום,מניה רגילה
1095819,28.51,2026-07-23,פריון נטוורק,מניה רגילה
1095835,55.78,2026-07-23,ארפורט סיטי,מניה רגילה
1095892,6.029,2026-07-23,גניגר,מניה רגילה
1096007,1.494,2026-07-23,קנזון-ש,מניה רגילה
1096049,0.896,2026-07-23,ביו ויו,מניה רגילה
1096106,66.27,2026-07-23,אטראו שוקי הון,מניה רגילה
1096148,8.357,2026-07-23,גולף,מניה רגילה
1096890,2.811,2026-07-23,בלו וייב-ש,מניה רגילה
1097054,42.9,2026-07-23,איביאי סילבר-ש,מניה רגילה
1097146,0.44,2026-07-23,קפיטל פוינט,מניה רגילה
1097229,13.47,2026-07-23,תמיס,מניה רגילה
1097260,687.1,2026-07-23,ביג,מניה רגילה
1097278,18.8,2026-07-23,אמות,מניה רגילה
1097344,5.303,2026-07-23,ספרינג,מניה רגילה
1097708,1.6802,2026-07-23,ממשל צמודה 0536,"אג""ח ממשלתי גליל"
1097948,218,2026-07-23,אפריקה מגורים,מניה רגילה
1098565,308.9,2026-07-23,רבוע נדלן,מניה רגילה
1098755,10.18,2026-07-23,סאנפלאואר,מניה רגילה
